id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,clasificacion
bittensor,tao,Bittensor,https://coin-images.coingecko.com/coins/images/28452/large/ARUsPeNQ_400x400.jpeg?1696527447,346.01,3008452659.0,41.0,7261123772.0,69457085.0,354.75,341.02,-1.7717714626302268,-0.50946,-18254559.65272045,-0.60312,8700789.0,21000000.0,21000000.0,757.6,-54.41679,2024-03-07T18:45:36.466Z,30.83,1020.14587,2023-05-14T08:57:53.732Z,,2025-05-05T00:58:12.652Z,ai
near,near,NEAR Protocol,https://coin-images.coingecko.com/coins/images/10365/large/near.jpg?1696510367,2.35,2839906901.0,44.0,2930025132.0,117699923.0,2.45,2.31,-0.06576683323991395,-2.72554,-81169511.31316233,-2.77875,1210116905.0,1248517317.0,,20.44,-88.54277,2022-01-16T22:09:45.873Z,0.526762,344.53472,2020-11-04T16:09:15.137Z,,2025-05-05T00:58:12.852Z,ai
internet-computer,icp,Internet Computer,https://coin-images.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1696514180,4.65,2474316706.0,48.0,2474316706.0,47862386.0,4.74,4.57,-0.058520963240169976,-1.2434,-34042067.84326029,-1.35715,532772955.2415268,532772955.2415268,,700.65,-99.33868,2021-05-10T16:05:53.653Z,2.87,61.72723,2023-09-22T00:29:57.369Z,,2025-05-05T00:58:14.978Z,ai
render-token,render,Render,https://coin-images.coingecko.com/coins/images/11636/large/rndr.png?1696511529,4.33,2242838111.0,54.0,2306781743.0,185493838.0,4.62,4.27,-0.22049596759508283,-4.84226,-114609078.958179,-4.86158,517716590.0562826,532476763.3362826,,13.53,-68.0561,2024-03-17T16:30:24.636Z,0.03665669,11694.59593,2020-06-16T13:22:25.900Z,,2025-05-05T00:58:14.186Z,ai
fetch-ai,fet,Artificial Superintelligence Alliance,https://coin-images.coingecko.com/coins/images/5681/large/ASI.png?1719827289,0.661379,1719184001.0,65.0,1791473206.0,92442904.0,0.692123,0.649478,-0.023027945447736453,-3.36465,-62497578.2679975,-3.50779,2604959126.672,2714493896.672,2714493896.672,3.45,-80.92333,2024-03-28T17:21:18.050Z,0.00816959,7965.72136,2020-03-13T02:24:18.347Z,"{'times': 6.628366875298036, 'currency': 'usd', 'percentage': 662.8366875298036}",2025-05-05T00:58:19.906Z,ai
virtual-protocol,virtual,Virtuals Protocol,https://coin-images.coingecko.com/coins/images/34057/large/LOGOMARK.png?1708356054,1.65,1078542611.0,87.0,1653198465.0,271467188.0,1.74,1.58,-0.04418479960704125,-2.61198,-19697432.60297227,-1.79355,652397539.4203515,1000000000.0,1000000000.0,5.07,-67.10338,2025-01-02T06:15:38.599Z,0.00748604,22157.66031,2024-01-23T20:55:21.653Z,,2025-05-05T00:58:13.149Z,ai
story-2,ip,Story,https://coin-images.coingecko.com/coins/images/54035/large/Transparent_bg.png?1738075331,3.82,1030261880.0,92.0,3834003211.0,39457379.0,3.87,3.61,0.119966,3.24628,32969614.0,3.30591,269872943.63,1004301675.93,,7.31,-47.64008,2025-02-26T16:11:25.410Z,1.0,282.82346,2025-02-14T03:11:08.309Z,,2025-05-05T00:58:12.909Z,ai
the-graph,grt,The Graph,https://coin-images.coingecko.com/coins/images/13397/large/Graph_Token.png?1696513159,0.090538,864294664.0,98.0,976486757.0,28144515.0,0.093835,0.089896,-0.002002070334571365,-2.16347,-19592157.67770183,-2.21659,9548531509.16547,10788004319.0,10788004319.0,2.84,-96.81836,2021-02-12T07:28:45.775Z,0.052051,73.68819,2022-11-22T10:05:03.503Z,,2025-05-05T00:58:15.163Z,ai
arweave,ar,Arweave,https://coin-images.coingecko.com/coins/images/4343/large/oRt6SiEN_400x400.jpg?1696504946,7.34,480100918.0,151.0,480100918.0,33336859.0,7.6,7.08,0.212355,2.97982,13323432.0,2.85434,65454185.5381511,65454185.5381511,66000000.0,89.24,-91.81383,2021-11-05T04:14:42.689Z,0.298788,2344.85809,2020-01-31T06:47:36.543Z,"{'times': 8.91729352295679, 'currency': 'usd', 'percentage': 891.729352295679}",2025-05-05T00:58:13.045Z,ai
aioz-network,aioz,AIOZ Network,https://coin-images.coingecko.com/coins/images/14631/large/aioz-logo-200.png?1696514309,0.396105,464448125.0,155.0,465174957.0,7552887.0,0.413251,0.388366,-0.01673272636303008,-4.0531,-19314496.95569372,-3.99256,1172122457.999244,1173956755.637661,,2.65,-85.0977,2021-04-03T11:55:34.211Z,0.01099588,3492.66495,2023-09-13T19:20:42.446Z,,2025-05-05T00:58:05.870Z,ai
beldex,bdx,Beldex,https://coin-images.coingecko.com/coins/images/5111/large/Beldex.png?1696505631,0.06463,461360135.0,157.0,641399445.0,3222534.0,0.067112,0.06407,-0.001529753777889997,-2.3122,-11720315.55532372,-2.47745,7145266251.071806,9933605994.964031,,0.450785,-85.70536,2018-12-17T00:00:00.000Z,0.00027519,23316.22569,2019-11-01T11:05:12.090Z,"{'times': -0.7414788617227268, 'currency': 'usd', 'percentage': -74.14788617227268}",2025-05-05T00:58:12.760Z,ai
grass,grass,Grass,https://coin-images.coingecko.com/coins/images/40094/large/Grass.jpg?1725697048,1.45,399461112.0,172.0,1450078144.0,22902220.0,1.5,1.42,-0.027823810730407628,-1.88283,-7889792.85131532,-1.93685,275475576.0,1000000000.0,1000000000.0,3.89,-62.82837,2024-11-08T12:26:05.892Z,0.654959,120.90142,2024-10-28T15:20:48.857Z,,2025-05-05T00:58:14.441Z,ai
akash-network,akt,Akash Network,https://coin-images.coingecko.com/coins/images/12785/large/akash-logo.png?1696512580,1.51,372913389.0,185.0,374187040.0,13339734.0,1.51,1.41,0.06501,4.50832,15376867.0,4.30078,247443076.710739,248288195.807791,388539008.0,8.07,-81.5261,2021-04-06T18:59:48.484Z,0.164994,804.13123,2022-11-21T20:30:53.727Z,,2025-05-05T00:58:15.591Z,ai
ai16z,ai16z,ai16z,https://coin-images.coingecko.com/coins/images/51090/large/AI16Z.jpg?1730027175,0.262411,288523915.0,215.0,288523915.0,105811553.0,0.267989,0.238164,0.00564987,2.20044,5921334.0,2.09529,1099998638.372759,1099998638.372759,1099999958.01,2.47,-89.30854,2025-01-02T06:51:36.053Z,0.010189,2486.67136,2024-11-03T15:09:23.068Z,,2025-05-05T00:58:14.665Z,ai
golem,glm,Golem,https://coin-images.coingecko.com/coins/images/542/large/Golem_Submark_Positive_RGB.png?1696501761,0.262377,262239004.0,231.0,262239004.0,8441007.0,0.266645,0.260402,-0.000466888683752387,-0.17763,-888456.1307096779,-0.33765,1000000000.0,1000000000.0,,1.32,-80.20117,2018-04-13T09:13:22.739Z,0.00913753,2769.45255,2016-12-12T00:00:00.000Z,"{'times': 25.23770067041269, 'currency': 'usd', 'percentage': 2523.770067041269}",2025-05-05T00:58:14.016Z,ai
arkham,arkm,Arkham,https://coin-images.coingecko.com/coins/images/30929/large/Arkham_Logo_CG.png?1696529771,0.526684,213741665.0,266.0,526655177.0,30886349.0,0.538366,0.521023,-0.001683043859148525,-0.31854,-748090.9316295385,-0.34878,405847458.0,1000000000.0,1000000000.0,3.98,-86.77873,2024-03-10T00:04:54.733Z,0.287824,82.64163,2023-10-19T02:00:13.308Z,,2025-05-05T00:58:06.482Z,ai
origintrail,trac,OriginTrail,https://coin-images.coingecko.com/coins/images/1877/large/TRAC.jpg?1696502873,0.389365,194502565.0,283.0,194678961.0,2132257.0,0.39794,0.385004,-0.002378515966562134,-0.60716,-1284056.8248779476,-0.65585,499546955.602,500000000.0,500000000.0,3.5,-88.88134,2021-11-03T18:09:57.627Z,0.00385262,10015.25827,2020-03-13T02:24:12.031Z,"{'times': 2.893649218267133, 'currency': 'usd', 'percentage': 289.3649218267133}",2025-05-05T00:58:15.287Z,ai
kaito,kaito,KAITO,https://coin-images.coingecko.com/coins/images/54411/large/Qm4DW488_400x400.jpg?1739552780,0.797532,192457331.0,288.0,797291591.0,22574969.0,0.801703,0.774709,0.01067709,1.35693,2409348.0,1.26776,241388889.0,1000000000.0,1000000000.0,2.88,-72.43586,2025-02-27T08:58:05.008Z,0.674693,17.83512,2025-04-17T14:41:51.327Z,,2025-05-05T00:58:08.101Z,ai
livepeer,lpt,Livepeer,https://coin-images.coingecko.com/coins/images/7137/large/badge-logo-circuit-green.png?1719357686,4.72,190043213.0,290.0,190043213.0,11820407.0,4.77,4.64,0.02223315,0.47335,923571.0,0.48835,40279073.55065384,40279073.55065384,40279073.55065384,99.03,-95.24112,2021-11-09T16:58:44.554Z,0.354051,1231.05691,2019-10-26T22:59:09.500Z,,2025-05-05T00:58:05.423Z,ai
vana,vana,Vana,https://coin-images.coingecko.com/coins/images/51404/large/logo.png?1731086679,5.32,163809634.0,326.0,638219353.0,13295455.0,5.38,5.22,0.01154341,0.21748,260158.0,0.15907,30800000.0,120000000.0,120000000.0,35.23,-84.94922,2024-12-17T00:40:30.667Z,4.52,17.44794,2025-03-11T00:55:50.361Z,,2025-05-05T00:58:12.435Z,ai
qubic-network,qubic,Qubic,https://coin-images.coingecko.com/coins/images/32949/large/QubicLogo-Token.png?1731185925,1.36e-06,159225079.0,338.0,194108814.0,1460593.0,1.42e-06,1.35e-06,-2.0173874987e-08,-1.45881,-2315699.991653383,-1.43351,116842775117584.0,142441207716652.0,200000000000000.0,1.256e-05,-89.12256,2024-03-02T12:28:41.540Z,7.03229e-07,94.30157,2025-03-10T17:12:02.634Z,,2025-05-05T00:58:12.349Z,ai
subsquid,sqd,SQD,https://coin-images.coingecko.com/coins/images/37869/large/New_Logo_SQD_Icon.png?1720048443,0.219938,145506421.0,348.0,294228905.0,3626617.0,0.220069,0.206333,0.01243379,5.99206,8105875.0,5.89945,661192976.4193754,1337000000.0,1337000000.0,0.245596,-10.49936,2024-05-17T08:05:33.284Z,0.0228513,861.91551,2024-11-16T09:55:54.507Z,,2025-05-05T00:58:13.808Z,ai
alchemist-ai,alch,Alchemist AI,https://coin-images.coingecko.com/coins/images/52302/large/small-logo.png?1733053544,0.167433,142317683.0,353.0,167430202.0,29139213.0,0.170886,0.161276,-0.003019769999645955,-1.77162,-2644361.6261351705,-1.82418,850000000.0,999985868.802365,1000000000.0,0.235752,-29.01973,2025-01-02T14:12:24.352Z,0.01435554,1065.66217,2025-02-25T00:15:23.826Z,,2025-05-05T00:58:14.684Z,ai
